name,published_at,status,url,validity,valid_from,valid_to,epoch_valid_from,epoch_valid_to,recently_added,address,latitude,longitude
"Grundschule Weißig ""Hutbergschule"" in Dresden",2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_14_GSWeissig.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,True,"Hauptstraße 14, 01328 Dresden, Deutschland",51.059095,13.8852311
68. Grundschule Dresden „Am Heiligen Born“ in Dresden,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_14_68GSDresden.pdf,17.01.2022 bis 21.01.2022,2022-01-17 00:00:00,2022-01-21 00:00:00,1642377600,1642723200,True,"Heiligenbornstraße 15, 01219 Dresden, Deutschland",51.01085,13.76417
81. Grundschule „Robert Weber“ in Dresden,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_14_81_Grundschule_Dresden.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,True,"Robert-Weber-Straße 5, 01187 Dresden, Deutschland",51.02424999999999,13.68951
139. Grundschule Dresden,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_14_139_Grundschule_Dresden.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,True,"Omsewitzer Ring 4, 01169 Dresden, Deutschland",51.04562,13.66737
Kulturwerkschule - Grundschule in Dresden,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/20220114_KulturwerkschuleDresden.pdf,17.01.2022 bis 21.01.2022,2022-01-17 00:00:00,2022-01-21 00:00:00,1642377600,1642723200,True,"Maxim-Gorki-Straße 42, 01127 Dresden, Deutschland",51.0892073,13.7298744
Kulturwerkschule – Grundschule in Dresden,2022-01-13,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_13_KulturwerkschuleGSDD.pdf,14.01.2022 bis 20.01.2022,2022-01-14 00:00:00,2022-01-20 00:00:00,1642118400,1642636800,False,"Maxim-Gorki-Straße 42, 01127 Dresden, Deutschland",51.0892073,13.7298744
Kulturwerkschule – Grundschule in Dresden,2022-01-13,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_13_120GSDresden.pdf,14.01.2022 bis 20.01.2022,2022-01-14 00:00:00,2022-01-20 00:00:00,1642118400,1642636800,False,"Maxim-Gorki-Straße 42, 01127 Dresden, Deutschland",51.0892073,13.7298744
Pestalozzi-Gymnasium Dresden,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_GYPestaDD.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Pestalozzipl. 22, 01127 Dresden, Deutschland",51.0796444,13.732667
Gymnasium Dresden-Plauen in Dresden,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_GymDresdenPlauen.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Kantstraße 2, 01187 Dresden, Deutschland",51.0270401,13.7050411
139. Grundschule Dresden,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_139GSDD.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Omsewitzer Ring 4, 01169 Dresden, Deutschland",51.04562,13.66737
